"FJuanGuevara_Amor_1" "FJuanGuevara_Amor_2" "FJuanGuevara_Amor_3" "SJ_Empeños2_1" "SJ_Empeños2_2" "SJ_Empeños2_3" "SJ_Empeños2_4" "SJ_Empeños2_5" "SJ_Empeños2_6" "SJ_Empeños2_7" "SJ_Empeños2_8" "SJ_Empeños2_9" "SJ_Empeños2_10" "SJ_Empeños2_11" "SJ_Empeños2_12" "SJ_Empeños2_13" "SJ_Empeños2_14" "SJ_Empeños2_15" "SJ_Empeños2_16" "SJ_Empeños2_17" "SJ_Empeños2_18" "SJ_Empeños2_19" "SJ_Empeños2_20" "SJ_Empeños2_21" "SJ_Empeños2_22"
"tú" 0.5 0.2 0 0.7 0.4 0.2 0.1 0 0.4 0.4 0.7 0.1 0.2 0.2 0.1 0 0.1 0 0.4 0.7 0.1 0 0 0 0.4
"así" 0 0.1 0 0.1 0.2 0.2 0.3 0 0.3 0.4 0.1 0.6 0.4 0.1 0.1 0.2 0.3 0.2 0.1 0.7 0.5 0.1 0.2 0.1 0.5
"quién" 0 0.3 0.1 0.9 0.1 0.1 0.6 0 0.5 0.5 0.5 0.5 0.1 0 0.1 0 0.1 0.1 0.2 0.1 0.1 0.5 0.1 0.2 0.1
"tu" 0.2 0 0 0.4 0.1 0.3 0.5 0.2 0.4 0.6 0.7 0 0.7 0.1 0.1 0 0 0.3 0.6 0 0.1 0.1 0 0.3 0.1
"está" 0.1 0.1 0.1 0.2 0.3 0.2 0.1 0.1 0 0.4 0.4 0.1 0.1 0 0 0.3 0.4 0.2 0.2 0.2 0.2 0.6 0.5 0.6 0.1
"él" 0.1 0.2 0.1 0 0.1 0.5 0.3 0 0.1 0.7 0.1 0 0.1 0.2 0.2 0.2 0.6 0.2 0.2 0.2 0.1 0.4 0.5 0.2 0.1
"ella" 0.1 0.3 0.3 0 0.2 0.4 0.4 0 0.1 0.2 0.1 0.2 0.5 0.3 0.3 0.2 0.6 0 0.4 0.1 0.2 0.3 0 0 0.1
"este" 0.2 0.5 0.5 0 0.2 0.1 0.3 0 0 0.3 0 0 0 0.1 0.1 0.3 0.2 0.5 0.2 0.7 0.1 0.1 0.3 0.3 0.3
"ni" 0.1 0.1 0 0 0.4 0.2 0.8 0.2 0.2 0 0.1 0.3 0 0.2 0.2 0 0.4 0 0.2 0.8 0.6 0 0.3 0.1 0.1
"sólo" 0.2 0.3 0.3 0.1 0.6 0.2 0.4 0.1 0.2 0.3 0.1 0.3 0.1 0.2 0.2 0 0.1 0 0.1 0.1 0 0.6 0.3 0.1 0.2
"señora" 0 0.2 0.1 0 0 0 0.6 0 0.6 0.5 0.5 0 0.4 0.4 0.1 0 0 0 0.2 0 0.7 0.1 0.2 0.3 0.1
"dicha" 0.1 0.4 0.3 0.4 1.6 0.9 0 0 0.2 0 0 0 0 0.3 0.1 0 0.3 0 0 0 0.1 0 0 0.1 0.1
"soy" 0.3 0.1 0 0.2 0.3 0 0 0 0 0.4 0.5 0.7 0.3 0.1 0.2 0.2 0 0 0.1 0.2 0.3 0.2 0.1 0.1 0.6
"tal" 0 0.2 0.1 0 0.1 0 0.4 0.1 0 0.2 0 0.2 0.1 1.3 1 0 0.3 0.2 0.1 0 0.1 0 0 0 0.5
"esto" 0 0 0.2 0 0 0 0.1 0 0.1 0.5 0 0.1 0.1 0 0.2 0.4 0.3 0.2 0.3 0.2 0.1 0.5 0.7 0.7 0.1
"muy" 0.4 0.4 0.2 0 0.1 0.1 0 0 0 0 0.1 0.3 0.3 0.6 0.1 0 0.1 0.6 0.3 0.3 0 0.1 0 0.3 0.1
"pedro" 0 0 0 0 0 0 0 0 0.2 0.1 0 0.1 0.1 0.4 0.3 0.8 0.4 0 0.2 0.1 0.3 0.3 0.3 0.5 0.2
"sí" 0.1 0.2 0.1 0.4 0.5 0 0 0.1 0.3 0.1 0.1 0.3 0 0.7 0.7 0 0 0 0.1 0.2 0.1 0.1 0 0.1 0.1
"son" 0 0.2 0.3 0.1 0.3 0.2 0.3 0 0.2 0.1 0.2 0.2 0.2 0.2 0.1 0.2 0 0.5 0 0.3 0.3 0.1 0.1 0.2 0
"tengo" 0.1 0.2 0.1 0 0 0 0.5 0 0.3 0.3 0.1 0.2 0.1 0.1 0.1 0.2 0.5 0 0.2 0.1 0.1 0.1 0.3 0.4 0.3
"vuestra" 0.3 0.1 0.4 0 0 0 0.1 0 0 0.1 0 0.1 0 0.4 0 0.1 0.4 0 0 0 1 0.1 0.6 0.6 0
"doña" 0 0 0 0 0 0 0 0.1 0 0.3 0 0 0.1 0.1 0.1 0.5 0.1 0 0.2 0.2 0.1 0.8 0.2 1.1 0.2
"hay" 0.2 0.4 0.2 0.2 0.2 0.4 0.1 0 0.2 0.1 0.4 0 0.2 0.1 0.1 0.2 0 0.1 0.1 0.3 0.1 0 0.2 0.3 0
"o" 0 0 0.1 0.1 0.3 0.4 0.3 0.6 0 0.5 0.1 0 0.1 0.1 0 0 0.4 0.2 0.1 0.3 0.1 0.2 0.1 0.1 0
"sea" 0 0.1 0.2 0.1 0.4 1.7 0.1 0 0 0.1 0 0.1 0.3 0.1 0.1 0 0.1 0 0.3 0 0.1 0.2 0.1 0 0
"estoy" 0.3 0 0.3 0.1 0 0 0.2 0 0 0.1 0.2 0.1 0.1 0.2 0 0.3 0.3 0.2 0 0.6 0.2 0.1 0.1 0.2 0.4
"hermano" 0 0 0 0 0 0.5 0.1 0 0.4 0.2 0.5 0.1 0.2 0.1 0 0.2 0 0 0.1 0.2 0.1 0.7 0.3 0.3 0
"puedo" 0.1 0.1 0.1 0.2 0 0 0.3 0 0.2 0 0 0.4 0.1 0.1 0.4 0.2 0.5 0.3 0.1 0 0 0.1 0.3 0.3 0.2
"todo" 0.2 0.1 0.6 0.1 0.3 0.2 0.2 0.1 0.2 0.1 0.2 0.1 0.2 0.2 0.1 0.1 0 0.1 0 0.2 0 0 0.3 0.3 0.1
